16.4119530351063;48.2111867585169;0,16.4119418265935;48.2112439013861;0,16.4118986938344;48.2112939389248;0,16.4118300416934;48.211329165352;0,16.4117463781513;48.2113441766137;0,16.4116605129371;48.2113366709829;0,16.4115854559317;48.2113078493606;0,16.4115327158759;48.2112621150502;0,16.4115101987743;48.211206373232;0,16.4115214072871;48.2111492303628;0,16.4115646401222;48.2110991928241;0,16.4116331921872;48.2110639663968;0,16.4117168557292;48.2110489551352;0,16.4118027209434;48.211056460766;0,16.4118777779488;48.2110852823883;0,16.4119306180807;48.2111310166987;0,16.4119530351063;48.2111867585169;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4119691473435;48.2108217847094;0,16.4119560373865;48.2108713218728;0,16.4119154065276;48.2109136536305;0,16.4118535595551;48.2109424752528;0,16.4117799036138;48.2109532833612;0,16.4117056472164;48.2109444767544;0,16.4116420989518;48.2109174564835;0,16.4115988661167;48.2108762255515;0,16.4115826538035;48.2108271887636;0,16.4115958638365;48.2107777516753;0,16.4116363946194;48.2107353198425;0,16.4116982415919;48.2107065982953;0,16.4117718975332;48.2106956901118;0,16.4118461539306;48.2107044967187;0,16.4119097021952;48.2107315169896;0,16.4119529350303;48.2107727479215;0,16.4119691473435;48.2108217847094;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4127263224142;48.2122032210784;0,16.4128643272282;48.2123153051652;0,16.4130442638892;48.212216931364;0,16.412903256795;48.2121025455505;0,16.4128276994095;48.2121439766326;0,16.4126053305215;48.2119594381898;0,16.4124281959887;48.2120542092881;0,16.412654167613;48.2122417499832;0,16.4127263224142;48.2122032210784;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4112336887663;48.2112994430541;0,16.4113218557286;48.2113082496609;0,16.4113982137222;48.2113388726346;0,16.41145115393;48.2113867085216;0,16.4114725701955;48.2114443517662;0,16.4114593601626;48.2115029957616;0,16.4114133251993;48.211553933976;0,16.4113416707781;48.2115891604032;0,16.4112552051078;48.2116034711393;0,16.4111670381454;48.2115946645325;0,16.4110906801519;48.2115640415588;0,16.4110377399441;48.2115162056718;0,16.4110163236785;48.2114586625023;0,16.4110295337115;48.2113999184318;0,16.4110754685988;48.2113489802174;0,16.411147223096;48.2113137537901;0,16.4112336887663;48.2112994430541;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4107559259077;48.2109989175965;0,16.4107413148107;48.2110496556608;0,16.4106986824316;48.2110927880191;0,16.4106345337109;48.2111217097165;0,16.4105585760214;48.2111322175996;0,16.4104825182559;48.2111224102421;0,16.4104177690793;48.2110939889201;0,16.4103742360161;48.211051256862;0,16.410358624159;48.2110007189479;0,16.410373235256;48.2109499808836;0,16.4104158676351;48.2109068485252;0,16.4104800163558;48.2108778267528;0,16.4105559740453;48.2108674189447;0,16.4106320318108;48.2108771262272;0,16.4106967809874;48.2109055475492;0,16.4107403140506;48.2109482796073;0,16.4107559259077;48.2109989175965;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.411077970499;48.211252908143;0,16.4110648605421;48.2113041465827;0,16.411023228923;48.2113481796168;0,16.4109594805064;48.21137820214;0,16.4108834227409;48.2113897107739;0,16.4108064642914;48.2113810042422;0,16.4107404141266;48.2113532834457;0,16.4106953799233;48.2113107515378;0,16.4106780667741;48.2112601135486;0,16.410691276807;48.2112087750339;0,16.41073280835;48.2111647419998;0,16.4107965567667;48.2111347194766;0,16.4108727146082;48.2111232108427;0,16.4109495729817;48.2111320174495;0,16.4110156231465;48.2111597382459;0,16.4110607574258;48.2112021700788;0,16.411077970499;48.211252908143;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4119611412629;48.211825337586;0,16.4121329717673;48.2119737489259;0,16.4122033252004;48.2119376218229;0,16.4123275195254;48.2120480046333;0,16.4125134607468;48.2119550348864;0,16.4123846629255;48.2118405489978;0,16.4123197135968;48.2118729733229;0,16.4121513857526;48.2117275642353;0,16.4119611412629;48.211825337586;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4134243525647;48.212220734217;0,16.4133266783816;48.2121375718276;0,16.4131368341959;48.2122367462294;0,16.4133112666765;48.2123851575692;0,16.4134256535528;48.2123255128231;0,16.4135194247716;48.2124054728099;0,16.4136608321698;48.212331917628;0,16.4134903026535;48.2121864084654;0,16.4134243525647;48.212220734217;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4114940865371;48.2119147046302;0,16.4121087533735;48.2115820550727;0,16.4119583391347;48.2114586625023;0,16.4119604407308;48.2114575616764;0,16.4118591638115;48.2113763007135;0,16.4116041701451;48.2115176067229;0,16.4116820292787;48.2115800535712;0,16.4113229565647;48.2117743993716;0,16.4114940865371;48.2119147046302;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4115719456707;48.2105857076017;0,16.4115589357898;48.2106363455909;0,16.4115179046268;48.2106796780995;0,16.4114550568943;48.2107094003974;0,16.4113799998888;48.2107208089563;0,16.4113040421994;48.2107121024245;0,16.4112388927186;48.2106847819284;0,16.4111943588954;48.210642950546;0,16.4111773459742;48.2105929130073;0,16.4111902557791;48.2105422750181;0,16.4112312869421;48.2104988424345;0,16.4112941346746;48.2104692202116;0,16.4113692917561;48.2104578116528;0,16.4114451493696;48.2104664181094;0,16.4115102988503;48.2104938386806;0,16.4115548326735;48.210535670063;0,16.4115719456707;48.2105857076017;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
